ward,total,win_num,anc,da,reg
10403009,2583,1211,1184,1211,3945
10403010,2621,2532,15,2532,3689
10403011,2722,1758,841,1758,4107
10403012,2362,1832,1832,424,3718
10403013,2021,1170,631,1170,3152
10403014,2394,1174,1110,1174,3995
10404001,2640,1800,577,1800,4168
10404002,2364,2116,22,2116,3524
10404003,2280,2085,17,2085,3127
10404004,2583,1819,599,1819,3859
10404005,2433,1965,224,1965,3820
10404006,2501,1241,955,1241,3882
10404007,2081,1296,1296,574,3630
10404008,2132,1408,497,1408,3490
10404009,2276,1993,1993,202,3650
10404010,1629,1517,1517,39,3036
10404011,2538,2157,2157,266,4124
10404012,1398,1240,1240,112,2260
10404013,1432,1338,1338,50,2104
10404014,2579,1152,442,1152,4744
10404015,3070,2719,2719,214,5315
10404016,1871,707,456,707,3278
10404017,2536,1581,575,1581,4060
10404018,2203,2074,13,2074,3138
10404019,3294,2913,141,2913,4850
10404020,2069,965,880,965,3835
10404021,2264,1978,1978,176,3486
10404022,2311,1709,436,1709,3724
10404023,1941,1452,191,1452,3174
10404024,1831,894,894,792,3002
10404025,2158,1079,999,1079,3321
10405001,2418,1261,1036,1261,4684
10405002,2444,1842,516,1842,3547
10405003,2641,1949,508,1949,4352
10405004,2049,1134,1134,614,3759
10405005,2024,820,820,507,3273
10405006,2633,1018,1018,962,4334
10405007,2556,1615,623,1615,4000
10405008,2261,1543,1543,483,3675
10405009,2536,1392,1392,1056,3531
10405010,2374,1330,1330,964,3458
10405011,2285,1006,922,1006,3536
10405012,1465,654,654,654,2165
10405013,2030,1003,1003,674,3422
10407001,2810,1926,734,1926,3794
10407002,2984,2842,92,2842,3989
10407003,2436,1660,1660,600,3589
10407004,2529,1152,1152,1144,3613
10407005,2124,1471,1471,508,2861
10407006,1953,1420,1420,420,3469
10407007,2733,1426,1426,1112,3660
10408001,2254,1171,997,1171,3049
10408002,2215,1828,348,1828,3409
10408003,1937,1347,1347,492,3330
10408004,2213,1840,1840,318,3127
10408005,2341,1804,442,1804,3396
10408006,2735,979,979,854,4100
10408007,1912,1612,1612,210,3597
10408008,3193,1316,1316,984,5203
10408009,2645,2072,184,2072,3771
10408010,2257,2111,46,2111,3350
10501001,1121,445,445,381,1345
10501002,576,298,167,298,1130
10501003,179,121,30,121,200
10501004,1254,529,529,454,1475
10502001,1281,485,485,325,1675
10502002,1208,600,112,478,1524
10502003,1118,839,140,125,1449
10502004,1669,732,515,406,1918
10503001,2340,1100,1100,741,3507
10503002,2068,1241,742,1241,3102
10503003,2360,1053,1041,1053,3558
10503004,1979,1273,1273,655,2828
10503005,2614,1597,1597,822,3961
10503006,1876,930,930,745,2876
10503007,2602,1120,1120,1078,3980
19100001,13075,12390,352,12390,16938
19100002,10488,9725,379,9725,14268
19100003,13240,12549,313,12549,17928
19100004,11202,7327,3542,7327,17676
19100005,11802,11377,204,11377,15601
19100006,7828,4450,4450,2912,13634
19100007,8898,7214,1099,7214,13927
19100008,13363,12518,449,12518,17777
19100009,7712,4963,1935,4963,14880
19100010,8690,7144,1041,7144,14217
19100011,11496,8542,2233,8542,17890
19100012,8820,7423,725,7423,14898
19100013,9789,5641,3567,5641,16420
19100014,10902,8312,1872,8312,16697
19100015,11106,10527,272,10527,15321
19100016,9846,5163,3762,5163,17364
19100017,10179,8118,1273,8118,17016
19100018,7819,6985,6985,128,12879
19100019,10391,6282,3521,6282,17574
19100020,9566,5012,3558,5012,16160
19100021,12784,12288,152,12288,16923
19100022,9151,7396,1142,7396,14470
19100023,11544,11000,264,11000,16217
19100024,8982,7111,952,7111,13974
19100025,9748,8128,794,8128,16133
19100026,9114,7670,900,7670,14369
19100027,10629,9474,727,9474,14978
19100028,9318,7746,907,7746,14812
19100029,9558,6487,2299,6487,16140
19100030,10292,8700,794,8700,16050
19100031,9253,7096,1343,7096,14661
19100032,8774,4717,3366,4717,15104
19100033,9480,8741,8741,307,17170
19100034,8965,8233,8233,147,15149
19100035,9307,8180,8180,714,15725
19100036,9657,8575,8575,219,16681
19100037,8320,7276,7276,451,12893
19100038,8698,8004,8004,176,13508
19100039,7794,7075,7075,189,12372
19100040,7873,7328,7328,190,13643
19100041,7966,6919,6919,354,12981
19100042,10064,7152,7152,2030,13968
19100043,11729,9996,842,9996,17936
19100044,9135,5783,2545,5783,16641
19100045,9991,4734,3848,4734,16043
19100046,10157,7829,948,7829,15889
19100047,8688,6386,474,6386,13763
19100048,10178,7858,1441,7858,15796
19100049,11486,9904,648,9904,17329
19100050,10047,8252,747,8252,15352
19100051,8002,6891,6891,222,13477
19100052,7629,6797,6797,194,13882
19100053,11165,8440,2218,8440,15807
19100054,10978,9959,773,9959,16921
19100055,10249,8993,727,8993,15537
19100056,10631,8640,933,8640,15745
19100057,9831,7651,1549,7651,17778
19100058,12248,11208,719,11208,17731
19100059,11068,10105,701,10105,17428
19100060,11130,8644,1552,8644,15891
19100061,9807,8535,877,8535,14787
19100062,11669,10737,684,10737,16615
19100063,10682,8787,1119,8787,15091
19100064,10035,9326,326,9326,14396
19100065,9140,7679,625,7679,13786
19100066,10020,8553,572,8553,14625
19100067,9697,6443,2498,6443,16169
19100068,11398,9687,655,9687,16972
19100069,11595,6499,4741,6499,17406
19100070,11997,11449,251,11449,15502
19100071,11679,10338,1003,10338,16584
19100072,10740,9282,749,9282,14583
19100073,10715,10136,288,10136,14746
19100074,11930,6902,4502,6902,18119
19100075,9736,5456,3588,5456,15886
19100076,10849,7534,2108,7534,17773
19100077,10559,8936,1086,8936,17022
19100078,11292,9437,765,9437,18131
19100079,9428,7344,649,7344,14876
19100080,9689,7943,7943,1019,17172
19100081,9956,8498,616,8498,15048
19100082,9246,7462,746,7462,15466
19100083,10640,7927,2289,7927,15168
19100084,9650,9049,319,9049,13386
19100085,9208,5443,5443,3246,15100
19100086,10124,6630,6630,2589,16609
19100087,10201,9463,9463,242,16441
19100088,10034,5432,5432,3778,16827
19100089,8294,7837,7837,112,13148
19100090,10704,9955,9955,174,16579
19100091,8415,7909,7909,104,13842
19100092,9943,9095,9095,235,15964
19100093,9830,9040,9040,221,15408
19100094,8526,7800,7800,194,13143
19100095,11255,10314,10314,123,17184
19100096,9161,8343,8343,120,13811
19100097,9591,8850,8850,187,14955
19100098,10016,9445,9445,132,16222
19100099,10265,5954,2911,5954,17613
19100100,10683,8027,1905,8027,17042
19100101,9529,8824,8824,355,15256
19100102,12033,11386,315,11386,15829
19100103,14256,13592,229,13592,18672
19100104,7491,6683,6683,392,14296
19100105,12516,9807,2198,9807,18183
19100106,10545,7430,7430,2407,16923
19100107,13283,11831,1109,11831,18560
19100108,10370,9569,9569,271,16907
19100109,10556,6824,2918,6824,17188
19100110,9746,8180,694,8180,14371
19100111,9296,4776,4072,4776,14539
21001001,2333,1185,1185,1092,3799
21001002,2262,1085,1085,1068,3693
21001003,1787,995,995,749,3320
21001004,2225,1137,1011,1137,4105
21001005,1472,829,604,829,2841
21001006,2089,1985,1985,58,3194
21001007,1377,701,628,701,2212
21002001,1008,592,592,394,1767
21002002,2112,1127,949,1127,3347
21002003,1699,1530,1530,151,2701
21002004,1695,1088,1088,573,2722
21002005,1945,1206,1206,710,3370
21002006,1844,1123,1123,456,3544
21003001,979,484,476,484,1878
21003002,1148,877,877,250,1635
21003003,720,522,522,192,1075
21003004,781,481,481,285,1141
21004001,1989,1702,1702,164,3239
21004002,1926,1649,1649,61,3385
21004003,1752,907,709,907,3279
21004004,1957,1505,308,1505,3679
21004005,2231,1891,1891,127,3376
21004006,1554,1409,1409,41,2540
21004007,1085,992,992,52,1814
21004008,1725,848,670,848,3351
21004009,1731,1496,1496,85,3136
21004010,2581,2329,2329,65,4802
21004011,1964,1848,1848,41,3380
21004012,966,753,136,753,3205
21004013,1793,1496,1496,165,2820
21004014,1786,1471,1471,260,2870
21005001,2213,2134,2134,67,3283
21005002,2143,1123,1123,987,3079
21005003,2591,1891,1891,637,3534
21005004,2582,1250,803,1250,3291
21005005,2193,1909,1909,240,3183
21005006,2059,1312,1312,694,3160
21005007,1709,1542,1542,145,2667
21005008,1962,1807,1807,123,3344
21005009,1917,1807,1807,78,3303
21005010,2476,2312,153,2312,3688
21006001,2270,2206,2206,38,3489
21006002,2380,1496,1496,842,3563
21006003,2294,1677,1677,546,3544
21006004,1810,880,880,132,2991
21006005,2362,2295,2295,48,3398
21006006,1977,1490,1490,462,2886
21006007,1616,741,741,652,2763
21006008,1699,1138,1138,536,2732
21007001,1161,773,383,773,1812
21007002,1991,989,989,966,2657
21007003,2522,1343,1147,1343,3538
21007004,981,547,421,547,1314
21008001,734,396,396,323,1076
21008002,1195,685,685,492,2102
21008003,1994,1857,48,1857,3034
21008004,4155,2282,1763,2282,6188
21008005,1763,942,781,942,3007
21008006,2052,1860,1860,103,3047
21008007,2317,1073,1073,851,3480
21008008,2778,2559,100,2559,3449
21008009,3340,2179,2179,1102,4821
21008010,2387,1756,1756,568,3812
21008011,1555,1296,212,1296,2813
21008012,2576,1438,1110,1438,3450
21008013,1833,1160,1160,501,2632
21008014,3042,1594,1594,1383,4092
21008015,3392,2467,2467,854,4432
21009001,2180,1361,1361,795,3749
21009002,2033,1192,827,1192,2956
21009003,1536,1086,1086,440,2633
21009004,1732,903,903,825,2862
21009005,2058,1217,1217,814,3343
21009006,1925,1175,1175,722,3036
21201001,1492,947,947,31,3493
21201002,2022,1405,1405,20,3484
21201003,2285,1500,1500,29,3810
21201004,2155,1524,1524,17,3731
21201005,2352,1543,1543,19,4052
21201006,2394,1522,1522,8,4191
21201007,1975,1409,1409,17,3238
21201008,1951,1471,1471,30,3264
21201009,1845,1404,1404,103,3476
21201010,1946,970,970,13,3289
21201011,1950,1669,1669,9,3307
21201012,2041,1422,1422,35,3492
21201013,1753,1285,1285,11,3801
21201014,2323,961,961,65,3690
21201015,2440,1320,1320,13,4222
21201016,1842,974,974,25,3659
21201017,2094,1059,1059,6,3807
21201018,1892,862,819,10,3792
21201019,2474,1195,1195,15,4537
21201020,1646,871,871,33,3933
21201021,2090,1418,1418,8,3395
21201022,2317,1873,1873,3,3655
21201023,2599,1578,1578,32,4259
21201024,2470,1560,1560,11,3907
21201025,1955,1477,1477,68,3770
21201026,2088,1505,1505,5,3721
21201027,1902,1367,1367,13,3098
21201028,1627,746,746,3,3259
21201029,2010,1696,1696,5,3263
21201030,2318,1684,1684,13,3877
21201031,2176,1788,1788,8,3403
21202001,1656,971,971,190,4324
21202002,1973,1034,1034,171,4298
21202003,2025,1266,1266,84,3793
21202004,1985,1244,1244,174,4053
21202005,1815,1114,1114,89,4139
21202006,1375,968,968,71,4241
21202007,2071,1309,1309,73,3861
21202008,1721,1281,1281,49,3359
21202009,2033,1271,1271,40,3720
21202010,1996,1676,1676,16,3500
21202011,2371,2038,2038,18,4176
21202012,1994,1423,1423,73,3731
21202013,1942,1445,1445,92,3415
21202014,2122,1541,1541,186,3593
21202015,2080,1709,1709,28,3660
21202016,2421,1840,1840,134,4169
21202017,2126,1689,1689,50,3783
21202018,2082,1723,1723,75,3682
21202019,2234,1684,1684,144,3729
21202020,1895,1375,1375,118,3510
21202021,2009,1591,1591,30,3720
21202022,2378,1754,1754,194,3880
21202023,2104,1749,1749,12,3885
21202024,2732,2170,2170,15,4565
21202025,2771,2371,2371,14,4675
21202026,2686,2078,2078,10,4366
21202027,2657,2212,2212,20,4367
21202028,2444,1670,1670,10,4093
21202029,2500,2196,2196,23,4299
21202030,2468,1858,1858,14,4179
21202031,2540,2096,2096,11,4375
21203001,1733,1440,1440,260,2956
21203002,1643,1532,1532,84,2714
21203003,2014,1937,1937,53,3148
21203004,2144,1853,1853,246,3397
21203005,1491,1290,1290,195,2631
21203006,2479,1756,1756,667,3573
21203007,1488,982,982,457,2883
21204001,1912,1589,1589,18,3168
21204002,1698,1380,1380,40,3276
21204003,1886,1660,1660,21,3430
21204004,1739,952,952,248,3201
21204005,2122,1496,1496,42,3459
21204006,2115,1517,1517,239,3415
21204007,1720,1552,1552,11,2807
21204008,1963,1649,1649,23,3284
21204009,1567,1371,1371,134,2723
21204010,1499,1117,1117,33,3086
21204011,1797,1418,1418,99,2944
21204012,2200,1970,1970,8,3681
21204013,1595,1293,1293,50,2931
21204014,1993,1785,1785,54,3415
21204015,1999,1667,1667,34,3417
21204016,1921,1730,1730,23,3314
21204017,1735,921,921,612,2830
21204018,1834,1658,1658,25,3107
21204019,1865,1639,1639,25,3112
21204020,1759,1465,1465,63,3173
21206001,1568,1445,1445,49,3214
21206002,1436,1313,1313,56,3492
21206003,1869,1695,1695,78,3532
21206004,1635,1553,1553,24,3302
21206005,1869,1767,1767,31,3501
21206006,1475,1370,1370,39,3177
21206007,1465,1361,1361,55,3173
21206008,1690,1572,1572,37,3025
21206009,1120,1012,1012,58,2988
21206010,1097,1001,1001,56,3261
21206011,1485,1394,1394,45,3375
21206012,1532,1412,1412,58,2878
21206013,1411,1305,1305,32,3182
21207001,1765,1505,1505,25,3020
21207002,1855,1397,1397,16,3244
21207003,1930,1673,1673,32,3464
21207004,1724,1300,1300,94,3126
21207005,1870,1696,1696,30,3149
21207006,1460,1003,1003,138,3015
21207007,1812,1576,1576,78,3543
21207008,2070,1328,1328,616,3459
21207009,2174,1753,1753,22,3714
21207010,1817,1069,1069,150,2977
21207011,863,784,784,24,3122
21207012,1751,1627,1627,25,3054
21207013,1761,1683,1683,14,2924
21207014,2832,2711,2711,22,3475
21207015,2195,1862,1862,19,3406
21207016,1982,1771,1771,49,3530
21207017,1729,1517,1517,22,2947
21207018,1889,1656,1656,40,3440
21207019,1707,1484,1484,38,2864
21207020,1667,1151,1151,353,3435
21207021,1547,1377,1377,27,3028
21208001,1821,1195,1195,395,2912
21208002,1911,1143,1143,201,3332
21208003,1348,542,542,339,2621
21208004,2319,1438,1438,593,3662
21301001,2119,2021,2021,41,3456
21301002,1865,1796,1796,25,3061
21301003,1811,1759,1759,24,2897
21301004,2090,1186,856,1186,3748
21301005,1684,1306,285,1306,2929
21301006,1937,1373,1373,495,3555
21301007,2495,1594,795,1594,4482
21301008,2250,1186,1186,858,3325
21301009,1755,1292,1292,279,2785
21302001,2055,1862,1862,27,3326
21302002,1799,1500,1500,107,2908
21302003,2358,1947,1947,34,3860
21302004,2438,1402,1402,479,3552
21302005,1773,973,973,326,3061
21303001,1627,1381,1381,61,2614
21303002,1686,871,871,622,2514
21303003,1872,1439,1439,159,2666
21303004,1806,1585,1585,65,2571
21304001,2279,2022,2022,75,4169
21304002,1475,1228,1228,22,2856
21304003,1936,1771,1771,20,3326
21304004,1424,1169,1169,80,3302
21304005,1928,1505,1505,53,3151
21304006,1804,1182,1182,501,3355
21304007,2352,2069,2069,61,3988
21304008,1504,1312,1312,50,2951
21304009,1793,1589,1589,92,3019
21304010,1315,1170,1170,54,2952
21304011,1984,1804,1804,72,3602
21304012,1821,1659,1659,44,3081
21304013,1693,1528,1528,44,2924
21304014,1758,1526,1526,38,3019
21304015,1340,1162,1162,37,2585
21304016,1499,1331,1331,50,2996
21304017,1834,1646,1646,33,3255
21304018,2204,1701,1701,397,3856
21304019,1721,1269,1269,296,3014
21304020,1973,1738,1738,66,3663
21304021,1885,1730,1730,60,3700
21304022,2089,1309,1309,661,3708
21304023,1565,1394,1394,63,3204
21304024,1606,1360,1360,115,3248
21304025,2016,1445,1445,406,4247
21304026,2153,1324,782,1324,3363
21304027,1882,1254,1254,93,2909
21305001,2340,2135,2135,7,3808
21305002,1965,1459,1459,15,3195
21305003,1927,1774,1774,23,3212
21305004,2631,2280,2280,20,3979
21305005,2946,2512,2512,18,3897
21305006,2244,1918,1918,20,3692
21305007,2126,1852,1852,29,3586
21305008,2118,1863,1863,27,3791
21305009,1891,1745,1745,20,3216
21305010,2010,1823,1823,16,3308
21305011,1848,1768,1768,8,2995
21305012,1773,1509,1509,23,3312
21305013,2104,1921,1921,45,3610
21305014,1479,1250,1250,26,3279
21305015,2253,1830,1830,26,3707
21305016,2512,2312,2312,36,3915
21305017,1827,1486,1486,29,3238
21305018,1954,1701,1701,17,3199
21305019,1973,1667,1667,7,3130
21305020,1759,1427,1427,14,3005
21305021,1925,1724,1724,19,3075
21306001,2312,2172,2172,24,3640
21306002,2101,1804,1804,21,3199
21306003,2186,1796,1796,17,3574
21306004,1788,1617,1617,24,3155
21306005,2458,2221,2221,27,3912
21306006,2373,2274,2274,14,3750
21306007,2321,2212,2212,30,3880
21306008,2398,1898,1898,44,3873
21306009,2164,1942,1942,29,3552
21306010,2037,1875,1875,30,3166
21306011,2273,1614,1614,547,3579
21306012,2071,1875,1875,12,3309
21306013,1843,1429,1429,26,3007
21306014,2283,1015,1015,653,3572
21306015,1782,1218,1218,42,2927
21306016,1729,1229,1229,71,2993
21306017,1962,1725,1725,11,3017
21307001,1815,1710,1710,8,3341
21307002,1875,1747,1747,4,3263
21307003,1691,1284,1284,41,3100
21307004,1925,1741,1741,9,3433
21307005,1779,1410,1410,5,3065
21307006,2030,1885,1885,7,3238
21307007,2152,1794,1794,11,3556
21307008,2099,1878,1878,13,3627
21307009,1780,1362,1362,24,3391
21307010,1891,1193,1193,12,3965
21307011,1174,838,838,28,3019
21307012,1880,1753,1753,7,3512
21307013,2072,1909,1909,11,3800
21307014,2040,1669,1669,19,3618
21307015,2174,1950,1950,17,3810
21307016,1955,1697,1697,19,3421
21307017,1839,1645,1645,11,3421
21307018,2092,1710,1710,12,3781
21307019,2075,1832,1832,5,3954
21307020,1806,1639,1639,2,3170
21308001,1873,1379,1379,351,3675
21308002,2062,1803,1803,123,3681
21308003,2042,1798,1798,31,3360
21308004,1435,1074,1074,32,2937
21308005,1782,1479,1479,21,3063
21308006,1954,1615,1615,16,3109
21308007,1894,1550,1550,29,3142
21308008,1842,1456,1456,20,2996
21308009,1905,1428,1428,13,3202
21401001,2110,1686,1686,12,3513
21401002,1895,1578,1578,111,3205
21401003,2150,1372,1372,311,3707
21401004,1665,1264,1264,240,3183
21401005,2057,1470,1470,40,3926
21401006,1689,1366,1366,18,3085
21401007,2236,1729,1729,46,3810
21401008,1830,1524,1524,66,3251
21401009,1899,1423,1423,253,3892
21401010,2233,1708,1708,137,3590
21401011,1962,1676,1676,41,3408
21401012,1871,1101,1101,425,3103
21401013,1782,1387,1387,29,3532
21401014,1760,1382,1382,35,3020
21401015,2017,1604,1604,88,3705
21401016,1706,1486,1486,21,3256
21401017,1789,1425,1425,148,3215
21402001,2200,2049,2049,57,3493
21402002,2446,2244,2244,144,4026
21402003,1785,1558,1558,107,3158
21402004,1790,1533,1533,126,3033
21402005,1473,1333,1333,65,2976
21402006,2298,2115,2115,44,3658
21402007,1971,1657,1657,143,3280
21402008,2068,1911,1911,68,3675
21402009,2195,2001,2001,51,3715
21402010,1704,1460,1460,112,3303
21402011,2196,1548,1548,71,3618
21402012,2084,1391,1391,36,3295
21402013,1960,1625,1625,86,3363
21402014,2294,1999,1999,279,3607
21402015,1721,1337,1337,317,2847
21402016,1756,1510,1510,194,2888
21402017,1731,1609,1609,49,2914
21402018,1800,1531,1531,66,2920
21402019,1700,1333,1333,307,2877
21403001,1663,1212,1212,222,2868
21403002,2331,1456,1456,430,3597
21403003,1990,1444,1444,21,3129
21403004,2079,1150,1150,761,3597
21403005,1890,1359,1359,325,3421
21403006,2382,1686,1686,37,3420
21404001,1917,1113,1113,725,3029
21404002,1647,1426,1426,185,2768
21404003,1949,1131,781,1131,3040
21404004,2213,1677,1677,448,3811
21404005,1765,1545,1545,123,2570
21503001,1823,1727,1727,18,3796
21503002,2532,2421,2421,12,4342
21503003,1963,1743,1743,8,3730
21503004,2122,1977,1977,17,3867
21503005,2604,2026,2026,7,4449
21503006,1593,1199,1199,26,3743
21503007,2396,2172,2172,28,4498
21503008,1933,1490,1490,9,3450
21503009,1846,1389,1389,7,3356
21503010,2025,1797,1797,15,4015
21503011,2077,1847,1847,37,4112
21503012,1907,1639,1639,15,3525
21503013,2276,1820,1820,30,4013
21503014,2094,1778,1778,60,4240
21503015,1662,1379,1379,88,3990
21503016,2407,2268,2268,46,3979
21503017,1840,1668,1668,44,3588
21503018,2195,1943,1943,55,3850
21503019,1783,1597,1597,58,3653
21503020,2228,1994,1994,85,4279
21503021,2256,1989,1989,92,4609
21503022,1679,1521,1521,81,3530
21503023,1896,1749,1749,41,3399
21503024,2268,2174,2174,17,3802
21503025,2175,1881,1881,15,3771
21503026,2191,1968,1968,14,3870
21503027,2091,1824,1824,35,3836
21503028,2086,1827,1827,14,3905
21503029,1944,1714,1714,15,3592
21503030,2650,2270,2270,15,4594
21503031,2282,2055,2055,20,4468
21504001,2388,1532,1532,111,3908
21504002,2142,1842,1842,204,3656
21504003,2061,1538,1538,51,3626
21504004,2019,1804,1804,118,3628
